z_mm,baseline_d4x_um,baseline_d4y_um,baseline_ellipticity,robust_d4x_um,robust_d4y_um,robust_ellipticity,point_d4x_um,point_d4y_um,point_ellipticity
135.5,4024.8907725099284,4360.395783546451,1.083357544340837,,4360.395783546451,,,4360.395783546451,
136.0,4005.6463952712124,4338.860295897963,1.083186049827094,,4338.860295897963,,,4338.860295897963,
136.5,3986.4068317364977,4317.326335664746,1.0830119749177978,,4317.326335664746,,,4317.326335664746,
137.0,3967.172151940732,4295.793925816687,1.0828352693782632,,4295.793925816687,,,4295.793925816687,
137.5,3947.9424272657734,4274.263089784862,1.082655881774114,,4274.263089784862,,,4274.263089784862,
138.0,3928.717730472469,4252.733851473128,1.0824737594374572,,4252.733851473128,,,4252.733851473128,
138.5,3909.498135733639,4231.206235270059,1.082288848431961,,4231.206235270059,,,4231.206235270059,
139.0,3890.283718668001,4209.68026606125,1.082101093516801,,4209.68026606125,,,4209.68026606125,
139.5,3871.0745563750547,4188.155969241994,1.0819104381094278,,4188.155969241994,,,4188.155969241994,
140.0,3851.870727470978,4166.633370730345,1.0817168242471185,,4166.633370730345,,,4166.633370730345,
140.5,3832.6723121255427,4145.112496980583,1.0815201925472637,,4145.112496980583,,,4145.112496980583,
141.0,3813.479392100103,4123.593374997108,1.0813204821663462,,4123.593374997108,,,4123.593374997108,
141.5,3794.2920507866897,4102.076032348743,1.0811176307575583,,4102.076032348743,,,4102.076032348743,
142.0,3775.110373248235,4080.560497183506,1.080911574427015,,4080.560497183506,,,4080.560497183506,
142.5,3755.9344462599806,4059.0467982438354,1.0807022476885033,,4059.0467982438354,,,4059.0467982438354,
143.0,3736.7643583521,4037.534964882298,1.0804895834167174,,4037.534964882298,,,4037.534964882298,
143.5,3717.6001998535785,4016.025027077794,1.0802735127989205,,4016.025027077794,,,4016.025027077794,
144.0,3698.4420629373967,3994.5170154522857,1.080053965284977,,3994.5170154522857,,,3994.5170154522857,
144.5,3679.290041667054,3973.010961288051,1.0798308685356903,,3973.010961288051,,,3973.010961288051,
145.0,3660.144232044491,3951.506896545507,1.0796041483693843,,3951.506896545507,,,3951.506896545507,
145.5,3641.0047320594404,3930.0048538816004,1.0793737287066625,,3930.0048538816004,,,3930.0048538816004,
146.0,3621.871641740274,3908.504866668802,1.0791395315132715,,3908.504866668802,,,3908.504866668802,
146.5,3602.7450632063897,3887.0069690147216,1.0789014767410001,,3887.0069690147216,,,3887.0069690147216,
147.0,3583.625100722187,3865.5111957823706,1.0786594822665396,,3865.5111957823706,,,3865.5111957823706,
147.5,3564.5118607526997,3844.017582611092,1.07841346382822,,3844.017582611092,,,3844.017582611092,
148.0,3545.4054520209274,3822.526165938191,1.0781633349605475,,3822.526165938191,,,3822.526165938191,
148.5,3526.3059855669408,3801.036983021287,1.0779090069264583,,3801.036983021287,,,3801.036983021287,
149.0,3507.213574808814,3779.550071961415,1.0776503886471889,,3779.550071961415,,,3779.550071961415,
149.5,3488.128335605455,3758.0654717269163,1.0773873866296857,,3758.0654717269163,,,3758.0654717269163,
150.0,3469.050386321395,3736.583222178129,1.0771199048914444,,3736.583222178129,,,3736.583222178129,
150.5,3449.9798478936113,3715.103364092938,1.0768478448826877,,3715.103364092938,,,3715.103364092938,
151.0,3430.9168439004616,3693.6259391931894,1.0765711054057683,,3693.6259391931894,,,3693.6259391931894,
151.5,3411.8615006327936,3672.150990172029,1.0762895825316943,,3672.150990172029,,,3672.150990172029,
152.0,3392.8139471673194,3650.678560722183,1.076003169513659,,3650.678560722183,,,3650.678560722183,
152.5,3373.7743154423333,3629.2086955652335,1.0757117566974572,,3629.2086955652335,,,3629.2086955652335,
153.0,3354.7427403358606,3607.7414404819183,1.0754152314286636,,3607.7414404819183,,,3607.7414404819183,
153.5,3335.719359746321,3586.2768423435086,1.0751134779564437,,3586.2768423435086,,,3586.2768423435086,
154.0,3316.7043146758083,3564.814949144294,1.0748063773338616,,3564.814949144294,,,3564.814949144294,
154.5,3297.6977493160766,3543.3558100352384,1.0744938073145454,,3543.3558100352384,,,3543.3558100352384,
155.0,3278.6998111373327,3521.8994753588386,1.0741756422455593,,3521.8994753588386,,,3521.8994753588386,
155.5,3259.7106509799482,3500.4459966852473,1.0738517529563332,,3500.4459966852473,,,3500.4459966852473,
156.0,3240.73042314919,3478.995426849714,1.0735220066434867,,3478.995426849714,,,3478.995426849714,
156.5,3221.7592855130897,3457.5478199913887,1.0731862667513807,,3457.5478199913887,,,3457.5478199913887,
157.0,3202.797399603567,3436.103231593562,1.0728443928482247,,3436.103231593562,,,3436.103231593562,
157.5,3183.844930720936,3414.66171852539,1.072496240497551,,3414.66171852539,,,3414.66171852539,
158.0,3164.9020480419144,3393.2233390851766,1.0721416611248749,,3393.2233390851766,,,3393.2233390851766,
158.5,3145.968924731279,3371.7881530452755,1.071780501879333,,3371.7881530452755,,,3371.7881530452755,
159.0,3127.0457380573007,3350.3562216986907,1.0714126054901016,,3350.3562216986907,,,3350.3562216986907,
159.5,3108.1326695111093,3328.9276079074334,1.0710378101173699,,3328.9276079074334,,,3328.9276079074334,
160.0,3089.2299049301346,3307.502376152741,1.0706559491976506,,3307.502376152741,,,3307.502376152741,
160.5,3070.337634625794,3286.0805925872055,1.0702668512831832,,3286.0805925872055,,,3286.0805925872055,
161.0,3051.4560535155765,3264.662325088931,1.069870339875195,,3264.662325088931,,,3264.662325088931,
161.5,3032.5853612597075,3243.247643317788,1.0694662332507512,,3243.247643317788,,,3243.247643317788,
162.0,3013.7257624025715,3221.8366187738693,1.069054344282935,,3221.8366187738693,,,3221.8366187738693,
162.5,2994.8774665190767,3200.4293248582494,1.0686344802540733,,3200.4293248582494,,,3200.4293248582494,
163.0,2976.040688366165,3179.025836936144,1.0682064426617155,,3179.025836936144,,,3179.025836936144,
163.5,2957.215648039666,3157.6262324025956,1.067770027017063,,3157.6262324025956,,,3157.6262324025956,
164.0,2938.402571136712,3136.2305907507816,1.0673250226355269,,3136.2305907507816,,,3136.2305907507816,
164.5,2919.6016889239354,3114.838993643094,1.0668712124190873,,3114.838993643094,,,3114.838993643094,
165.0,2900.8132385116796,3093.45152498509,1.0664083726301,,3093.45152498509,,,3093.45152498509,
165.5,2882.037463034479,3072.068271002481,1.0659362726561923,,3072.068271002481,,,3072.068271002481,
166.0,2863.2746118380423,3050.6893203212776,1.0654546747658713,,3050.6893203212776,,,3050.6893203212776,
166.5,2844.5249406730177,3029.314764051263,1.064963333854448,,3029.314764051263,,,3029.314764051263,
167.0,2825.788711895823,3007.9446958729395,1.0644619971798628,,3007.9446958729395,,,3007.9446958729395,
